Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree
File,"AboutActivity.java",,,,1,,
File,"AndroidManifest.xml",,,,0,,
File,"AndroidManifest.xml",,,,0,,
File,"AndroidManifest.xml",,,,0,,
File,"AndroidManifest.xml",,,,0,,
File,"AndroidManifest.xml",,,,0,,
File,"BuildConfig.java",,,,0,,
File,"ExampleInstrumentedTest.java",,,,1,,
File,"ExampleUnitTest.java",,,,1,,
File,"MainActivity.java",,,,29,,
File,"MainActivity2.java",,,,8,,
File,"MyViewHolder.java",,,,1,,
File,"Note.java",,,,6,,
File,"NoteAdapter.java",,,,5,,
File,"activity_about.xml",,,,0,,
File,"activity_main.xml",,,,0,,
File,"activity_main2.xml",,,,0,,
File,"baseline_note_add_24.xml",,,,0,,
File,"colors.xml",,,,0,,
Package,"com",,,,0,,
Package,"com.mmomeni",,,,0,,
Package,"com.mmomeni.notepad",,,,52,,
Public Class,"com.mmomeni.notepad.AboutActivity",2,0,13,1,0,2
Protected Method,"com.mmomeni.notepad.AboutActivity.onCreate",,,,1,,
Public Class,"com.mmomeni.notepad.BuildConfig",2,0,12,0,0,1
Public Class,"com.mmomeni.notepad.ExampleInstrumentedTest",3,0,13,1,0,1
Public Method,"com.mmomeni.notepad.ExampleInstrumentedTest.useAppContext",,,,1,,
Public Class,"com.mmomeni.notepad.ExampleUnitTest",1,0,13,1,0,1
Public Method,"com.mmomeni.notepad.ExampleUnitTest.addition_isCorrect",,,,1,,
Public Class,"com.mmomeni.notepad.MainActivity",32,0,26,27,78,2
Private Method,"com.mmomeni.notepad.MainActivity.convertDateToString",,,,3,,
Private Method,"com.mmomeni.notepad.MainActivity.convertStringToDate",,,,3,,
Private Method,"com.mmomeni.notepad.MainActivity.loadFile",,,,3,,
Public Method,"com.mmomeni.notepad.MainActivity.onActivityResult",,,,4,,
Public Method,"com.mmomeni.notepad.MainActivity.onClick",,,,1,,
Protected Method,"com.mmomeni.notepad.MainActivity.onCreate",,,,1,,
Public Method,"com.mmomeni.notepad.MainActivity.onCreateOptionsMenu",,,,1,,
Public Method,"com.mmomeni.notepad.MainActivity.onLongClick",,,,1,,
Anonymous Class,"com.mmomeni.notepad.MainActivity.onLongClick.(Anon_1)",1,0,13,1,0,2
Public Method,"com.mmomeni.notepad.MainActivity.onLongClick.(Anon_1).onClick",,,,1,,
Anonymous Class,"com.mmomeni.notepad.MainActivity.onLongClick.(Anon_2)",3,0,13,1,0,2
Public Method,"com.mmomeni.notepad.MainActivity.onLongClick.(Anon_2).onClick",,,,1,,
Public Method,"com.mmomeni.notepad.MainActivity.onOptionsItemSelected",,,,3,,
Protected Method,"com.mmomeni.notepad.MainActivity.onPause",,,,1,,
Protected Method,"com.mmomeni.notepad.MainActivity.onResume",,,,1,,
Public Method,"com.mmomeni.notepad.MainActivity.saveFile",,,,3,,
Public Method,"com.mmomeni.notepad.MainActivity.updateRecycler",,,,1,,
Private Method,"com.mmomeni.notepad.MainActivity.updateTitleNoteCount",,,,1,,
Public Class,"com.mmomeni.notepad.EditActivity",10,0,17,6,60,2
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed",,,,1,,
Anonymous Class,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_1)",2,0,13,1,0,2
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_1).onClick",,,,1,,
Anonymous Class,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_2)",1,0,13,1,0,2
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_2).onClick",,,,1,,
Protected Method,"com.mmomeni.notepad.EditActivity.onCreate",,,,1,,
Public Method,"com.mmomeni.notepad.EditActivity.onCreateOptionsMenu",,,,1,,
Public Method,"com.mmomeni.notepad.EditActivity.onOptionsItemSelected",,,,2,,
Public Method,"com.mmomeni.notepad.EditActivity.saveAndExit",,,,1,,
Public Class,"com.mmomeni.notepad.MyViewHolder",2,0,13,1,0,2
Constructor,"com.mmomeni.notepad.MyViewHolder.MyViewHolder",,,,1,,
Public Class,"com.mmomeni.notepad.Note",4,0,18,6,62,1
Constructor,"com.mmomeni.notepad.Note.Note",,,,1,,
Public Method,"com.mmomeni.notepad.Note.getDesc",,,,1,,
Public Method,"com.mmomeni.notepad.Note.getLastDate",,,,1,,
Public Method,"com.mmomeni.notepad.Note.getTitle",,,,1,,
Public Method,"com.mmomeni.notepad.Note.setLastDate",,,,1,,
Public Method,"com.mmomeni.notepad.Note.toString",,,,1,,
Public Class,"com.mmomeni.notepad.NoteAdapter",11,0,16,5,37,2
Constructor,"com.mmomeni.notepad.NoteAdapter.NoteAdapter",,,,1,,
Public Method,"com.mmomeni.notepad.NoteAdapter.getItemCount",,,,1,,
Public Method,"com.mmomeni.notepad.NoteAdapter.onBindViewHolder",,,,2,,
Public Method,"com.mmomeni.notepad.NoteAdapter.onCreateViewHolder",,,,1,,
File,"first_menu.xml",,,,0,,
File,"ic_launcher.xml",,,,0,,
File,"ic_launcher_foreground.xml",,,,0,,
File,"ic_launcher_round.xml",,,,0,,
File,"merger.xml",,,,0,,
File,"merger.xml",,,,0,,
File,"merger.xml",,,,0,,
File,"merger.xml",,,,0,,
File,"notes_list.xml",,,,0,,
File,"second_menu.xml",,,,0,,
File,"strings.xml",,,,0,,
File,"themes.xml",,,,0,,
File,"themes.xml",,,,0,,
File,"values-af.xml",,,,0,,
File,"values-am.xml",,,,0,,
File,"values-ar.xml",,,,0,,
File,"values-as.xml",,,,0,,
File,"values-az.xml",,,,0,,
File,"values-b+sr+Latn.xml",,,,0,,
File,"values-be.xml",,,,0,,
File,"values-bg.xml",,,,0,,
File,"values-bn.xml",,,,0,,
File,"values-bs.xml",,,,0,,
File,"values-ca.xml",,,,0,,
File,"values-cs.xml",,,,0,,
File,"values-da.xml",,,,0,,
File,"values-de.xml",,,,0,,
File,"values-el.xml",,,,0,,
File,"values-en-rAU.xml",,,,0,,
File,"values-en-rCA.xml",,,,0,,
File,"values-en-rGB.xml",,,,0,,
File,"values-en-rIN.xml",,,,0,,
File,"values-en-rXC.xml",,,,0,,
File,"values-es-rUS.xml",,,,0,,
File,"values-es.xml",,,,0,,
File,"values-et.xml",,,,0,,
File,"values-eu.xml",,,,0,,
File,"values-fa.xml",,,,0,,
File,"values-fi.xml",,,,0,,
File,"values-fr-rCA.xml",,,,0,,
File,"values-fr.xml",,,,0,,
File,"values-gl.xml",,,,0,,
File,"values-gu.xml",,,,0,,
File,"values-h360dp-land-v13.xml",,,,0,,
File,"values-h480dp-land-v13.xml",,,,0,,
File,"values-h720dp-v13.xml",,,,0,,
File,"values-hdpi-v4.xml",,,,0,,
File,"values-hi.xml",,,,0,,
File,"values-hr.xml",,,,0,,
File,"values-hu.xml",,,,0,,
File,"values-hy.xml",,,,0,,
File,"values-in.xml",,,,0,,
File,"values-is.xml",,,,0,,
File,"values-it.xml",,,,0,,
File,"values-iw.xml",,,,0,,
File,"values-ja.xml",,,,0,,
File,"values-ka.xml",,,,0,,
File,"values-kk.xml",,,,0,,
File,"values-km.xml",,,,0,,
File,"values-kn.xml",,,,0,,
File,"values-ko.xml",,,,0,,
File,"values-ky.xml",,,,0,,
File,"values-land.xml",,,,0,,
File,"values-large-v4.xml",,,,0,,
File,"values-ldltr-v21.xml",,,,0,,
File,"values-lo.xml",,,,0,,
File,"values-lt.xml",,,,0,,
File,"values-lv.xml",,,,0,,
File,"values-mk.xml",,,,0,,
File,"values-ml.xml",,,,0,,
File,"values-mn.xml",,,,0,,
File,"values-mr.xml",,,,0,,
File,"values-ms.xml",,,,0,,
File,"values-my.xml",,,,0,,
File,"values-nb.xml",,,,0,,
File,"values-ne.xml",,,,0,,
File,"values-night-v8.xml",,,,0,,
File,"values-nl.xml",,,,0,,
File,"values-or.xml",,,,0,,
File,"values-pa.xml",,,,0,,
File,"values-pl.xml",,,,0,,
File,"values-port.xml",,,,0,,
File,"values-pt-rBR.xml",,,,0,,
File,"values-pt-rPT.xml",,,,0,,
File,"values-pt.xml",,,,0,,
File,"values-ro.xml",,,,0,,
File,"values-ru.xml",,,,0,,
File,"values-si.xml",,,,0,,
File,"values-sk.xml",,,,0,,
File,"values-sl.xml",,,,0,,
File,"values-small-v4.xml",,,,0,,
File,"values-sq.xml",,,,0,,
File,"values-sr.xml",,,,0,,
File,"values-sv.xml",,,,0,,
File,"values-sw.xml",,,,0,,
File,"values-sw600dp-v13.xml",,,,0,,
File,"values-sw720dp-v13.xml",,,,0,,
File,"values-ta.xml",,,,0,,
File,"values-te.xml",,,,0,,
File,"values-th.xml",,,,0,,
File,"values-tl.xml",,,,0,,
File,"values-tr.xml",,,,0,,
File,"values-uk.xml",,,,0,,
File,"values-ur.xml",,,,0,,
File,"values-uz.xml",,,,0,,
File,"values-v16.xml",,,,0,,
File,"values-v17.xml",,,,0,,
File,"values-v18.xml",,,,0,,
File,"values-v21.xml",,,,0,,
File,"values-v22.xml",,,,0,,
File,"values-v23.xml",,,,0,,
File,"values-v24.xml",,,,0,,
File,"values-v25.xml",,,,0,,
File,"values-v26.xml",,,,0,,
File,"values-v28.xml",,,,0,,
File,"values-vi.xml",,,,0,,
File,"values-w360dp-port-v13.xml",,,,0,,
File,"values-w480dp-port-v13.xml",,,,0,,
File,"values-watch-v20.xml",,,,0,,
File,"values-watch-v21.xml",,,,0,,
File,"values-xlarge-v4.xml",,,,0,,
File,"values-zh-rCN.xml",,,,0,,
File,"values-zh-rHK.xml",,,,0,,
File,"values-zh-rTW.xml",,,,0,,
File,"values-zu.xml",,,,0,,
File,"values.xml",,,,0,,
