Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"AboutActivity.java",1,,,,,
File,"AndroidManifest.xml",0,,,,,
File,"AndroidManifest.xml",0,,,,,
File,"AndroidManifest.xml",0,,,,,
File,"AndroidManifest.xml",0,,,,,
File,"BuildConfig.java",0,,,,,
File,"EditActivity.java",26,,,,,
File,"EditActivityTest.java",3,,,,,
File,"ExampleInstrumentedTest.java",1,,,,,
File,"MainActivity.java",40,,,,,
File,"MyViewHolder.java",1,,,,,
File,"Note.java",7,,,,,
File,"NoteAdapter.java",5,,,,,
File,"SettingsActivity.java",6,,,,,
File,"SoundPlayer.java",15,,,,,
File,"ToolbarTest.java",1,,,,,
File,"activity_about.xml",0,,,,,
File,"activity_edit.xml",0,,,,,
File,"activity_main.xml",0,,,,,
File,"arrays.xml",0,,,,,
File,"baseline_note_add_24.xml",0,,,,,
File,"colors.xml",0,,,,,
Package,"com",0,,,,,
Package,"com.mmomeni",0,,,,,
Package,"com.mmomeni.notepad",106,,,,,
Public Class,"com.mmomeni.notepad.AboutActivity",1,2,0,1,2,0
Protected Method,"com.mmomeni.notepad.AboutActivity.onCreate",1,,,,,
Public Class,"com.mmomeni.notepad.BuildConfig",0,1,0,0,1,0
Public Class,"com.mmomeni.notepad.EditActivity",24,2,0,12,20,81
Public Method,"com.mmomeni.notepad.EditActivity.changeTextColor",7,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.changeTextSize",1,,,,,
Private Method,"com.mmomeni.notepad.EditActivity.loadColorFromPreference",1,,,,,
Private Method,"com.mmomeni.notepad.EditActivity.loadSizeFromPreference",1,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed",1,,,,,
Anonymous Class,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_1)",1,2,0,1,2,0
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_1).onClick",1,,,,,
Anonymous Class,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_2)",1,2,0,1,1,0
Public Method,"com.mmomeni.notepad.EditActivity.onBackPressed.(Anon_2).onClick",1,,,,,
Protected Method,"com.mmomeni.notepad.EditActivity.onCreate",1,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.onCreateOptionsMenu",1,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.onOptionsItemSelected",3,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.onSharedPreferenceChanged",4,,,,,
Public Method,"com.mmomeni.notepad.EditActivity.saveAndExit",1,,,,,
Public Static Method,"com.mmomeni.notepad.EditActivity.setTextVisible",2,,,,,
Private Method,"com.mmomeni.notepad.EditActivity.setupSharedPreferences",1,,,,,
Public Class,"com.mmomeni.notepad.EditActivityTest",3,1,0,3,1,0
Public Method,"com.mmomeni.notepad.EditActivityTest.changeTextColor",1,,,,,
Public Method,"com.mmomeni.notepad.EditActivityTest.changeTextSize",1,,,,,
Public Method,"com.mmomeni.notepad.EditActivityTest.testSetTextVisible",1,,,,,
Public Class,"com.mmomeni.notepad.ExampleInstrumentedTest",1,1,0,1,3,0
Public Method,"com.mmomeni.notepad.ExampleInstrumentedTest.useAppContext",1,,,,,
Public Class,"com.mmomeni.notepad.MainActivity",37,2,0,16,33,89
Private Method,"com.mmomeni.notepad.MainActivity.clearSearch",1,,,,,
Private Method,"com.mmomeni.notepad.MainActivity.convertDateToString",3,,,,,
Private Method,"com.mmomeni.notepad.MainActivity.convertStringToDate",3,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.doFilter",4,,,,,
Private Method,"com.mmomeni.notepad.MainActivity.loadFile",3,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onActivityResult",5,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onClick",2,,,,,
Protected Method,"com.mmomeni.notepad.MainActivity.onCreate",1,,,,,
Anonymous Class,"com.mmomeni.notepad.MainActivity.onCreate.(Anon_1)",3,2,0,3,4,0
Public Method,"com.mmomeni.notepad.MainActivity.onCreate.(Anon_1).afterTextChanged",1,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onCreate.(Anon_1).beforeTextChanged",1,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onCreate.(Anon_1).onTextChanged",1,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onCreateOptionsMenu",1,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onLongClick",4,,,,,
Lambda Method,"com.mmomeni.notepad.MainActivity.onLongClick.(lambda_expr_1)",1,,,,,
Lambda Method,"com.mmomeni.notepad.MainActivity.onLongClick.(lambda_expr_2)",2,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.onOptionsItemSelected",3,,,,,
Protected Method,"com.mmomeni.notepad.MainActivity.onPause",1,,,,,
Protected Method,"com.mmomeni.notepad.MainActivity.onResume",1,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.saveFile",3,,,,,
Public Method,"com.mmomeni.notepad.MainActivity.updateRecycler",1,,,,,
Private Method,"com.mmomeni.notepad.MainActivity.updateTitleNoteCount",1,,,,,
Public Class,"com.mmomeni.notepad.MyViewHolder",1,2,0,1,2,0
Constructor,"com.mmomeni.notepad.MyViewHolder.MyViewHolder",1,,,,,
Public Class,"com.mmomeni.notepad.Note",7,1,0,7,4,57
Constructor,"com.mmomeni.notepad.Note.Note",1,,,,,
Public Method,"com.mmomeni.notepad.Note.compareTo",1,,,,,
Public Method,"com.mmomeni.notepad.Note.getDesc",1,,,,,
Public Method,"com.mmomeni.notepad.Note.getLastDate",1,,,,,
Public Method,"com.mmomeni.notepad.Note.getTitle",1,,,,,
Public Method,"com.mmomeni.notepad.Note.setLastDate",1,,,,,
Public Method,"com.mmomeni.notepad.Note.toString",1,,,,,
Public Class,"com.mmomeni.notepad.NoteAdapter",5,2,0,4,10,37
Constructor,"com.mmomeni.notepad.NoteAdapter.NoteAdapter",1,,,,,
Public Method,"com.mmomeni.notepad.NoteAdapter.getItemCount",1,,,,,
Public Method,"com.mmomeni.notepad.NoteAdapter.onBindViewHolder",2,,,,,
Public Method,"com.mmomeni.notepad.NoteAdapter.onCreateViewHolder",1,,,,,
Public Class,"com.mmomeni.notepad.SettingsActivity",5,2,0,2,6,0
Public Static Class,"com.mmomeni.notepad.SettingsActivity.SettingsFragment",1,2,0,1,3,0
Public Method,"com.mmomeni.notepad.SettingsActivity.SettingsFragment.onCreatePreferences",1,,,,,
Protected Method,"com.mmomeni.notepad.SettingsActivity.onCreate",3,,,,,
Public Method,"com.mmomeni.notepad.SettingsActivity.onOptionsItemSelected",2,,,,,
Class,"com.mmomeni.notepad.SoundPlayer",15,1,0,6,9,74
Private Constructor,"com.mmomeni.notepad.SoundPlayer.SoundPlayer",2,,,,,
Lambda Method,"com.mmomeni.notepad.SoundPlayer.SoundPlayer.(lambda_expr_1)",1,,,,,
Static Method,"com.mmomeni.notepad.SoundPlayer.getInstance",2,,,,,
Method,"com.mmomeni.notepad.SoundPlayer.muteSound",3,,,,,
Method,"com.mmomeni.notepad.SoundPlayer.setupSound",2,,,,,
Method,"com.mmomeni.notepad.SoundPlayer.start",4,,,,,
Method,"com.mmomeni.notepad.SoundPlayer.stop",2,,,,,
Public Class,"com.mmomeni.notepad.ToolbarTest",1,1,0,1,1,0
Public Method,"com.mmomeni.notepad.ToolbarTest.addition_isCorrect",1,,,,,
File,"first_menu.xml",0,,,,,
File,"ic_launcher.xml",0,,,,,
File,"ic_launcher_foreground.xml",0,,,,,
File,"ic_launcher_round.xml",0,,,,,
File,"merger.xml",0,,,,,
File,"merger.xml",0,,,,,
File,"merger.xml",0,,,,,
File,"merger.xml",0,,,,,
File,"notes_list.xml",0,,,,,
File,"root_preferences.xml",0,,,,,
File,"second_menu.xml",0,,,,,
File,"settings_activity.xml",0,,,,,
File,"settings_menu.xml",0,,,,,
File,"strings.xml",0,,,,,
File,"themes.xml",0,,,,,
File,"themes.xml",0,,,,,
